experiment,domain,vector_method,pair_label,condition,gate_pass_rate,cosine_deletion_rate,mean_b_anchor,mean_a_anchor,low_gate_warning
exp4,sacred,mean,zho→spa,vector_zho_Hant,0.000000,nan,0.233853,0.216808,low_gate
exp4,sacred,pca,arb→spa,vector_arb_Arab,0.000000,nan,0.234635,0.224064,low_gate
exp4,sacred,pca,eng→spa,vector_arb_Arab,0.000000,nan,0.248568,0.248001,low_gate
exp4,sacred,pca,spa→spa,vector_arb_Arab,0.000000,nan,0.250753,0.252014,low_gate
exp4,sacred,pca,zho→spa,vector_arb_Arab,0.000000,nan,0.233853,0.235282,low_gate
exp4,sacred,pca,arb→spa,vector_eng_Latn,0.000000,nan,0.234635,0.235819,low_gate
exp4,sacred,pca,eng→spa,vector_eng_Latn,0.000000,nan,0.248568,0.250844,low_gate
exp4,sacred,pca,spa→spa,vector_eng_Latn,0.000000,nan,0.250753,0.251200,low_gate
exp4,sacred,pca,zho→spa,vector_eng_Latn,0.000000,nan,0.233853,0.232108,low_gate
exp4,sacred,pca,arb→spa,vector_spa_Latn,0.000000,nan,0.234635,0.232596,low_gate
exp4,sacred,pca,eng→spa,vector_spa_Latn,0.000000,nan,0.248568,0.249642,low_gate
exp4,sacred,pca,spa→spa,vector_spa_Latn,0.000000,nan,0.250753,0.250555,low_gate
exp4,sacred,pca,zho→spa,vector_spa_Latn,0.000000,nan,0.233853,0.233591,low_gate
exp4,sacred,pca,arb→spa,vector_zho_Hant,0.000000,nan,0.234635,0.228925,low_gate
exp4,sacred,pca,eng→spa,vector_zho_Hant,0.000000,nan,0.248568,0.248057,low_gate
exp4,sacred,pca,spa→spa,vector_zho_Hant,0.000000,nan,0.250753,0.250660,low_gate
exp4,sacred,pca,zho→spa,vector_zho_Hant,0.000000,nan,0.233853,0.234436,low_gate
exp4,kinship,mean,arb→zho,vector_arb_Arab,0.122222,0.636364,0.363305,0.380822,low_gate
exp4,kinship,mean,eng→zho,vector_arb_Arab,0.044444,0.500000,0.375165,0.370138,low_gate
exp4,kinship,mean,spa→zho,vector_arb_Arab,0.077778,0.857143,0.392280,0.364484,low_gate
exp4,kinship,mean,zho→zho,vector_arb_Arab,0.033333,0.333333,0.364804,0.359482,low_gate
exp4,kinship,mean,arb→zho,vector_eng_Latn,0.122222,1.000000,0.363305,0.375078,low_gate
exp4,kinship,mean,eng→zho,vector_eng_Latn,0.044444,1.000000,0.375165,0.367786,low_gate
exp4,kinship,mean,spa→zho,vector_eng_Latn,0.077778,1.000000,0.392280,0.375706,low_gate
exp4,kinship,mean,zho→zho,vector_eng_Latn,0.033333,0.666667,0.364804,0.362054,low_gate
exp4,kinship,mean,arb→zho,vector_spa_Latn,0.122222,1.000000,0.363305,0.370102,low_gate
exp4,kinship,mean,eng→zho,vector_spa_Latn,0.044444,0.500000,0.375165,0.367770,low_gate
exp4,kinship,mean,spa→zho,vector_spa_Latn,0.077778,0.857143,0.392280,0.376393,low_gate
exp4,kinship,mean,zho→zho,vector_spa_Latn,0.033333,0.000000,0.364804,0.362769,low_gate
